ds,yhat,yhat_lower,yhat_upper
2024-12-12,7282.711949265041,7161.376387406955,7404.391838410937
2024-12-13,7294.251409835502,7157.4673950045235,7420.58380384052
2024-12-16,7278.546150039058,7147.466925704536,7402.257276873972
2024-12-17,7300.478561026674,7179.251134461446,7435.341713540946
2024-12-18,7313.319631699321,7182.097561952997,7436.463033573741
2024-12-19,7316.111670470029,7202.666031924002,7444.549549707692
2024-12-20,7327.651131040446,7202.395106896296,7452.382871203363
2024-12-23,7311.945871244002,7188.483088179888,7445.768191555849
2024-12-24,7333.87828223161,7206.4240574800715,7463.79755835636
2024-12-26,7349.511391674967,7227.21774370487,7476.409383769186
2024-12-27,7361.050852245391,7231.263785860366,7485.217648252143
2024-12-30,7345.345592448944,7223.412830978313,7469.990970210208
2024-12-31,7367.278003436618,7240.567480740014,7487.649579854499
2025-01-02,7382.911112879955,7268.006081163166,7514.812387427191
2025-01-03,7394.450573450335,7263.101497399734,7520.436374452791
2025-01-06,7378.745313653994,7249.895664487139,7501.053120004866
2025-01-07,7400.6777246415195,7268.658834527773,7526.2279173349425
2025-01-08,7413.51879531423,7290.406536334553,7542.4447035027515
2025-01-09,7416.310834084888,7294.2516883338285,7533.796797829346
2025-01-10,7427.850294655278,7296.464486422983,7560.216900678559
2025-01-13,7412.145034858937,7295.111487014411,7531.63507473803
2025-01-14,7434.077445846527,7315.846515673838,7561.272696999181
2025-01-15,7446.918516519207,7322.46513805279,7574.43253296549
2025-01-16,7449.710555289875,7327.68727741466,7568.220340640349
2025-01-17,7461.250015860223,7343.90766383676,7594.25374192661
2025-01-21,7467.477167051535,7346.013114693734,7590.267123999869
2025-01-22,7480.318237724141,7364.226402703998,7597.801225032451
2025-01-23,7483.110276494838,7358.502786444213,7607.786504432961
2025-01-24,7494.649737065168,7367.421302849367,7633.898662609419
2025-01-25,7450.555345134921,7333.975688876939,7569.5339337494315
2025-01-26,7455.326701239719,7324.150680784202,7585.665018929145
2025-01-27,7478.944477268761,7355.021414752381,7610.871078790581
2025-01-28,7500.876888256436,7384.050666147776,7629.520312966081
2025-01-29,7513.717958929161,7392.463252043868,7636.469534113692
2025-01-30,7516.509997699801,7387.9985311128,7645.380098159551
2025-01-31,7528.049458270216,7389.3695580964595,7656.347782899187
2025-02-01,7483.955066339866,7365.662700021166,7613.644418770482
2025-02-02,7488.7264224447235,7364.947317698105,7611.895524768714
2025-02-03,7512.344198473757,7387.197824601304,7639.4233565002005
2025-02-04,7534.276609461424,7406.7073422994135,7655.725398944952
2025-02-05,7547.117680134073,7414.370108131804,7678.198712225718
2025-02-06,7549.909718904764,7426.215343880922,7676.235191392649
2025-02-07,7561.449179475159,7440.984616129893,7693.416723104757
2025-02-08,7517.3547875447875,7395.64585206955,7638.780540416913
2025-02-09,7522.126143649644,7405.302387095198,7647.9650256353925
2025-02-10,7545.743919678754,7415.877417783687,7672.638469738458
2025-02-11,7567.676330666326,7444.100350934715,7693.029679233641
2025-02-12,7580.517401339051,7461.7422458632345,7718.372355428204
2025-02-13,7583.309440109753,7448.325179377335,7712.554573011627
2025-02-14,7594.848900680105,7456.767507842587,7726.873858189178
2025-02-15,7550.75450874971,7427.927709748977,7676.318119909214
2025-02-16,7555.5258648546,7421.806955829104,7691.4071986739345
2025-02-17,7579.14364088375,7441.39075808148,7722.034936809642
2025-02-18,7601.076051871334,7459.678542860291,7735.3895792088215
2025-02-19,7613.917122543984,7486.374532413379,7753.504995307764
2025-02-20,7616.709161314691,7489.223023785241,7757.37458452729
2025-02-21,7628.248621885154,7493.607067972604,7767.905465799209
2025-02-22,7584.154229954676,7439.6471160247675,7716.979230241916
2025-02-23,7588.925586059562,7446.303393249245,7731.82379677264
2025-02-24,7612.543362088693,7460.554885769001,7749.447037829037
2025-02-25,7634.4757730762885,7482.124103419849,7807.410159698362
2025-02-26,7647.316843748918,7498.657761420459,7801.500770913633
2025-02-27,7650.1088825196475,7500.011265606743,7798.808626141073
2025-02-28,7661.648343090099,7501.138403305943,7811.541099830002
2025-03-01,7617.553951159598,7460.368705960363,7770.927081251964
2025-03-02,7622.325307264567,7475.169848279801,7778.118397585435
2025-03-03,7645.943083293628,7486.15032674376,7805.765533813332
2025-03-04,7667.875494281225,7523.259235746205,7847.534148606167
2025-03-05,7680.716564953938,7513.647248633789,7857.850595103348
2025-03-06,7683.508603724611,7515.111597499422,7857.746530696277
2025-03-07,7695.0480642950415,7535.099711034462,7873.570084025897
2025-03-08,7650.953672364542,7481.033793915956,7828.664854243682
2025-03-09,7655.725028469571,7485.313276548223,7843.860467607292
2025-03-10,7679.34280449857,7506.507636246708,7860.81523799672
2025-03-11,7701.275215486178,7529.035473584627,7891.466351388998
2025-03-12,7714.116286158871,7534.785925417953,7917.871993820614
2025-03-13,7716.908324929599,7533.456242999069,7916.164729493066
2025-03-14,7728.447785499987,7528.587484590142,7932.550865091274
