Date,USD_INR,Gold_USD_per_ounce,Gold_INR_per_gram
2024-08-16,83.94830322265625,2498.60009765625,7398.833793548578
2024-08-19,83.88980102539062,2501.800048828125,7403.14673279966
2024-08-20,83.87860107421875,2511.300048828125,7430.266317688861
2024-08-21,83.77940368652344,2508.39990234375,7412.908447263373
2024-08-22,83.88860321044922,2478.89990234375,7335.2775289206575
2024-08-23,83.94059753417969,2508.39990234375,7427.171084407569
2024-08-26,83.81379699707031,2517.699951171875,7443.446713594715
2024-08-27,83.88369750976562,2516.0,7444.624523697784
2024-08-28,83.92160034179688,2501.0,7403.584629529057
2024-08-29,83.94149780273438,2525.699951171875,7478.475348830148
2024-08-30,83.89510345458984,2493.800048828125,7379.940143265199
2024-09-03,83.92729949951172,2489.89990234375,7371.226117843662
2024-09-04,83.95030212402344,2493.39990234375,7383.6108262145135
